timestamp_ms,reporter_node,observed_node,shard_count,entity_count
1778157224961,akka://Querying@127.0.0.1:2551,(empty),0,0
1778157226116,127.0.0.1:2551,127.0.0.1:2551,15,5
1778157231125,127.0.0.1:2551,127.0.0.1:2551,15,5
1778157236127,127.0.0.1:2551,127.0.0.1:2551,15,5
1778157241126,127.0.0.1:2551,127.0.0.1:2551,15,5
1778157246125,127.0.0.1:2551,127.0.0.1:2551,15,5
1778157251125,127.0.0.1:2551,127.0.0.1:2551,15,5
1778157256125,127.0.0.1:2551,127.0.0.1:2551,15,5
1778157261159,127.0.0.1:2551,127.0.0.1:2551,15,5
1778157266194,127.0.0.1:2551,127.0.0.1:2551,15,5
1778157271208,127.0.0.1:2551,127.0.0.1:2551,15,5
1778157276201,127.0.0.1:2551,127.0.0.1:2551,15,5
1778157281455,127.0.0.1:2551,127.0.0.1:2551,15,5
1778157286173,127.0.0.1:2551,127.0.0.1:2551,15,5
1778157291164,127.0.0.1:2551,127.0.0.1:2551,15,3
1778157296128,127.0.0.1:2551,127.0.0.1:2551,15,3
1778157301113,127.0.0.1:2551,127.0.0.1:2551,15,3
1778157306128,127.0.0.1:2551,127.0.0.1:2551,15,3
1778157311121,127.0.0.1:2551,127.0.0.1:2551,15,3
1778157316128,127.0.0.1:2551,127.0.0.1:2551,15,3
1778157321123,127.0.0.1:2551,127.0.0.1:2551,15,3
1778157326129,127.0.0.1:2551,127.0.0.1:2551,15,3
1778157331125,127.0.0.1:2551,127.0.0.1:2551,15,3
1778157336125,127.0.0.1:2551,127.0.0.1:2551,15,2
1778157341130,127.0.0.1:2551,127.0.0.1:2551,15,2
1778157346131,127.0.0.1:2551,127.0.0.1:2551,15,2
1778157351125,127.0.0.1:2551,127.0.0.1:2551,15,2
1778157356121,127.0.0.1:2551,127.0.0.1:2551,15,2
1778157361126,127.0.0.1:2551,127.0.0.1:2551,15,2
1778157366118,127.0.0.1:2551,127.0.0.1:2551,15,2
1778157371118,127.0.0.1:2551,127.0.0.1:2551,15,2
1778157376120,127.0.0.1:2551,127.0.0.1:2551,15,2
1778158779217,127.0.0.1:2551,127.0.0.1:2551,0,0
1778158784189,127.0.0.1:2551,127.0.0.1:2551,0,0
1778158789196,127.0.0.1:2551,127.0.0.1:2551,0,0
1778158794189,127.0.0.1:2551,127.0.0.1:2551,0,0
1778158799189,127.0.0.1:2551,127.0.0.1:2551,0,0
1778158804230,127.0.0.1:2551,127.0.0.1:2551,12,5
1778158809257,127.0.0.1:2551,127.0.0.1:2551,19,5
1778158814192,127.0.0.1:2551,127.0.0.1:2551,19,0
1778158819205,127.0.0.1:2551,127.0.0.1:2551,22,0
1778158824211,127.0.0.1:2551,127.0.0.1:2551,26,0
1778158829197,127.0.0.1:2551,127.0.0.1:2551,30,0
1778158834217,127.0.0.1:2551,127.0.0.1:2551,32,0
1778158839197,127.0.0.1:2551,127.0.0.1:2551,36,0
1778158844227,127.0.0.1:2551,127.0.0.1:2551,36,0
1778158849203,127.0.0.1:2551,127.0.0.1:2551,38,0
1778158854199,127.0.0.1:2551,127.0.0.1:2551,39,0
1778158859210,127.0.0.1:2551,127.0.0.1:2551,39,0
1778158864196,127.0.0.1:2551,127.0.0.1:2551,39,0
1778158869197,127.0.0.1:2551,127.0.0.1:2551,39,3
1778158874198,127.0.0.1:2551,127.0.0.1:2551,39,3
1778158879190,127.0.0.1:2551,127.0.0.1:2551,39,3
1778158884196,127.0.0.1:2551,127.0.0.1:2551,39,0
1778158889192,127.0.0.1:2551,127.0.0.1:2551,39,0
1778160075478,127.0.0.1:2551,127.0.0.1:2551,0,0
1778160141967,127.0.0.1:2551,127.0.0.1:2551,0,0
1778160146950,127.0.0.1:2551,127.0.0.1:2551,0,0
1778160151955,127.0.0.1:2551,127.0.0.1:2551,0,0
1778160158352,127.0.0.1:2551,127.0.0.1:2551,11,5
1778160162015,127.0.0.1:2551,127.0.0.1:2551,11,2
1778160166960,127.0.0.1:2551,127.0.0.1:2551,11,1
1778160171943,127.0.0.1:2551,127.0.0.1:2551,11,1
1778160176956,127.0.0.1:2551,127.0.0.1:2551,11,0
1778160181957,127.0.0.1:2551,127.0.0.1:2551,18,2
1778160186963,127.0.0.1:2551,127.0.0.1:2551,18,1
1778160191952,127.0.0.1:2551,127.0.0.1:2551,18,1
1778160196970,127.0.0.1:2551,127.0.0.1:2551,18,0
1778160201948,127.0.0.1:2551,127.0.0.1:2551,23,2
1778160206949,127.0.0.1:2551,127.0.0.1:2551,23,1
1778160211950,127.0.0.1:2551,127.0.0.1:2551,23,1
1778160216944,127.0.0.1:2551,127.0.0.1:2551,23,0
1778160222039,127.0.0.1:2551,127.0.0.1:2551,27,2
1778160227019,127.0.0.1:2551,127.0.0.1:2551,27,1
1778160231950,127.0.0.1:2551,127.0.0.1:2551,27,1
1778160236980,127.0.0.1:2551,127.0.0.1:2551,27,0
1778160241950,127.0.0.1:2551,127.0.0.1:2551,30,2
1778160246954,127.0.0.1:2551,127.0.0.1:2551,30,2
1778160251942,127.0.0.1:2551,127.0.0.1:2551,30,1
1778160256937,127.0.0.1:2551,127.0.0.1:2551,30,0
1778160264814,127.0.0.1:2551,127.0.0.1:2551,33,8
1778160266944,127.0.0.1:2551,127.0.0.1:2551,33,4
1778160271950,127.0.0.1:2551,127.0.0.1:2551,33,2
1778160276967,127.0.0.1:2551,127.0.0.1:2551,33,2
1778160281965,127.0.0.1:2551,127.0.0.1:2551,33,2
1778160286941,127.0.0.1:2551,127.0.0.1:2551,33,0
1778160294993,127.0.0.1:2551,127.0.0.1:2551,35,8
1778160296934,127.0.0.1:2551,127.0.0.1:2551,35,4
1778160301950,127.0.0.1:2551,127.0.0.1:2551,35,4
1778160306940,127.0.0.1:2551,127.0.0.1:2551,35,2
1778160312086,127.0.0.1:2551,127.0.0.1:2551,35,2
1778160316946,127.0.0.1:2551,127.0.0.1:2551,35,1
1778160326026,127.0.0.1:2551,127.0.0.1:2551,37,10
1778160326934,127.0.0.1:2551,127.0.0.1:2551,37,4
1778160331944,127.0.0.1:2551,127.0.0.1:2551,37,4
1778160336940,127.0.0.1:2551,127.0.0.1:2551,37,3
1778160342002,127.0.0.1:2551,127.0.0.1:2551,37,2
1778160346944,127.0.0.1:2551,127.0.0.1:2551,37,2
1778160351953,127.0.0.1:2551,127.0.0.1:2551,37,0
1778160357767,127.0.0.1:2551,127.0.0.1:2551,37,8
1778160361940,127.0.0.1:2551,127.0.0.1:2551,37,4
1778160366961,127.0.0.1:2551,127.0.0.1:2551,37,2
1778160371962,127.0.0.1:2551,127.0.0.1:2551,37,2
1778160376938,127.0.0.1:2551,127.0.0.1:2551,37,2
1778160381967,127.0.0.1:2551,127.0.0.1:2551,37,2
1778160387364,127.0.0.1:2551,127.0.0.1:2551,39,9
1778160392067,127.0.0.1:2551,127.0.0.1:2551,39,4
1778160397059,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160401941,127.0.0.1:2551,127.0.0.1:2551,39,2
1778160406943,127.0.0.1:2551,127.0.0.1:2551,39,2
1778160412067,127.0.0.1:2551,127.0.0.1:2551,39,2
1778160416994,127.0.0.1:2551,127.0.0.1:2551,39,0
1778160426311,127.0.0.1:2551,127.0.0.1:2551,39,15
1778160434565,akka://Querying@127.0.0.1:2551,(empty),0,0
1778160434776,127.0.0.1:2551,127.0.0.1:2551,39,14
1778160436931,127.0.0.1:2551,127.0.0.1:2551,39,6
1778160441931,127.0.0.1:2551,127.0.0.1:2551,39,6
1778160446937,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160452060,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160457282,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160461949,127.0.0.1:2551,127.0.0.1:2551,39,2
1778160466946,127.0.0.1:2551,127.0.0.1:2551,39,0
1778160478971,127.0.0.1:2551,127.0.0.1:2551,39,12
1778160479008,127.0.0.1:2551,127.0.0.1:2551,39,12
1778160481928,127.0.0.1:2551,127.0.0.1:2551,39,6
1778160486928,127.0.0.1:2551,127.0.0.1:2551,39,6
1778160491937,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160496936,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160502294,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160507746,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160511935,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160516974,127.0.0.1:2551,127.0.0.1:2551,39,0
