timestamp_ms,node,cpu_load_avg,cpu_combined,heap_used_mb,heap_committed_mb,heap_max_mb,processors
1778507463745,127.0.0.1:2551,1.2000,0.0583,1988.05,3278.02,8192.00,20
1778507466765,127.0.0.1:2551,1.1000,0.0584,1785.85,3284.70,8192.00,20
1778507466765,127.0.0.1:2551,1.1000,0.0584,1785.85,3284.70,8192.00,20
1778507469785,127.0.0.1:2551,1.1000,0.0580,1633.00,3290.31,8192.00,20
1778507469785,127.0.0.1:2551,1.1000,0.0580,1633.00,3290.31,8192.00,20
1778507472805,127.0.0.1:2551,1.0100,0.0692,1617.33,3295.04,8192.00,20
1778507472805,127.0.0.1:2551,1.0100,0.0692,1617.33,3295.04,8192.00,20
1778507475825,127.0.0.1:2551,1.1700,0.0740,1576.55,3299.01,8192.00,20
1778507475825,127.0.0.1:2551,1.1700,0.0740,1576.55,3299.01,8192.00,20
1778507478845,127.0.0.1:2551,1.1700,0.0786,1627.70,3302.35,8192.00,20
1778507478845,127.0.0.1:2551,1.1700,0.0786,1627.70,3302.35,8192.00,20
1778507481865,127.0.0.1:2551,1.1600,0.0841,1662.12,3305.16,8192.00,20
1778507481865,127.0.0.1:2551,1.1600,0.0841,1662.12,3305.16,8192.00,20
1778507484885,127.0.0.1:2551,1.1600,0.0877,1689.94,3307.52,8192.00,20
1778507484885,127.0.0.1:2551,1.1600,0.0877,1689.94,3307.52,8192.00,20
1778507487905,127.0.0.1:2551,1.1400,0.0914,1849.37,3309.50,8192.00,20
1778507487905,127.0.0.1:2551,1.1400,0.0914,1849.37,3309.50,8192.00,20
1778507490924,127.0.0.1:2551,1.1300,0.0937,1769.91,3311.17,8192.00,20
1778507490924,127.0.0.1:2551,1.1300,0.0937,1769.91,3311.17,8192.00,20
1778507493945,127.0.0.1:2551,1.1300,0.1010,1731.39,3464.05,8192.00,20
1778507493945,127.0.0.1:2551,1.1300,0.1010,1731.39,3464.05,8192.00,20
1778507496964,127.0.0.1:2551,1.0400,0.1001,1655.38,3592.59,8192.00,20
1778507496964,127.0.0.1:2551,1.0400,0.1001,1655.38,3592.59,8192.00,20
1778507499974,127.0.0.1:2551,1.0400,0.1099,1771.31,3921.53,8192.00,20
1778507499974,127.0.0.1:2551,1.0400,0.1099,1771.31,3921.53,8192.00,20
1778507503030,127.0.0.1:2551,1.1200,0.1063,1846.40,4198.13,8192.00,20
1778507503030,127.0.0.1:2551,1.1200,0.1063,1846.40,4198.13,8192.00,20
1778507506294,127.0.0.1:2551,1.1100,0.1102,2128.27,4511.54,8192.00,20
1778507506294,127.0.0.1:2551,1.1100,0.1102,2128.27,4511.54,8192.00,20
1778507509378,127.0.0.1:2551,1.1100,0.1059,2411.98,4775.09,8192.00,20
1778507509378,127.0.0.1:2551,1.1100,0.1059,2411.98,4775.09,8192.00,20
1778507512630,127.0.0.1:2551,1.1800,0.1097,2718.73,4996.71,8192.00,20
1778507512630,127.0.0.1:2551,1.1800,0.1097,2718.73,4996.71,8192.00,20
1778507515699,127.0.0.1:2551,2.4500,0.1053,2914.00,5183.07,8192.00,20
1778507515699,127.0.0.1:2551,2.4500,0.1053,2914.00,5183.07,8192.00,20
1778507518774,127.0.0.1:2551,2.4500,0.1145,3276.28,5339.77,8192.00,20
1778507518774,127.0.0.1:2551,2.4500,0.1145,3276.28,5339.77,8192.00,20
1778507521854,127.0.0.1:2551,2.4100,0.1099,3518.53,5471.55,8192.00,20
1778507521854,127.0.0.1:2551,2.4100,0.1099,3518.53,5471.55,8192.00,20
1778507525056,127.0.0.1:2551,2.4100,0.1143,3756.70,5582.36,8192.00,20
1778507525056,127.0.0.1:2551,2.4100,0.1143,3756.70,5582.36,8192.00,20
1778507528166,127.0.0.1:2551,2.3800,0.1112,3996.74,5675.53,8192.00,20
1778507528166,127.0.0.1:2551,2.3800,0.1112,3996.74,5675.53,8192.00,20
1778507531184,127.0.0.1:2551,2.2700,0.1158,3552.01,5779.66,8192.00,20
1778507531184,127.0.0.1:2551,2.2700,0.1158,3552.01,5779.66,8192.00,20
1778507534210,127.0.0.1:2551,2.2700,0.1099,3238.81,5867.22,8192.00,20
1778507534210,127.0.0.1:2551,2.2700,0.1099,3238.81,5867.22,8192.00,20
1778507537225,127.0.0.1:2551,2.1700,0.1143,3103.92,5993.04,8192.00,20
1778507537225,127.0.0.1:2551,2.1700,0.1143,3103.92,5993.04,8192.00,20
1778507540244,127.0.0.1:2551,2.1500,0.1087,3055.57,6098.84,8192.00,20
1778507540245,127.0.0.1:2551,2.1500,0.1087,3055.57,6098.84,8192.00,20
1778507543264,127.0.0.1:2551,2.1500,0.1177,3020.05,6187.80,8192.00,20
1778507543265,127.0.0.1:2551,2.1500,0.1177,3020.05,6187.80,8192.00,20
1778507546284,127.0.0.1:2551,2.3000,0.1137,3027.68,6262.61,8192.00,20
1778507546284,127.0.0.1:2551,2.3000,0.1137,3027.68,6262.61,8192.00,20
1778507549305,127.0.0.1:2551,2.3000,0.1161,3183.39,6325.52,8192.00,20
1778507549305,127.0.0.1:2551,2.3000,0.1161,3183.39,6325.52,8192.00,20
1778507552326,127.0.0.1:2551,2.2000,0.1070,3333.73,6378.42,8192.00,20
1778507552326,127.0.0.1:2551,2.2000,0.1070,3333.73,6378.42,8192.00,20
1778507555345,127.0.0.1:2551,2.0200,0.1072,3460.79,6422.90,8192.00,20
1778507555345,127.0.0.1:2551,2.0200,0.1072,3460.79,6422.90,8192.00,20
1778507558365,127.0.0.1:2551,2.0200,0.1006,3567.96,6460.31,8192.00,20
1778507558365,127.0.0.1:2551,2.0200,0.1006,3567.96,6460.31,8192.00,20
1778507561385,127.0.0.1:2551,2.1800,0.1001,3658.07,6491.76,8192.00,20
1778507561385,127.0.0.1:2551,2.1800,0.1001,3658.07,6491.76,8192.00,20
1778507564406,127.0.0.1:2551,2.1800,0.0938,3734.17,6518.21,8192.00,20
1778507564406,127.0.0.1:2551,2.1800,0.0938,3734.17,6518.21,8192.00,20
1778507567425,127.0.0.1:2551,2.1600,0.0875,3798.15,6540.45,8192.00,20
1778507567425,127.0.0.1:2551,2.1600,0.0875,3798.15,6540.45,8192.00,20
1778507570445,127.0.0.1:2551,2.1500,0.0830,3851.96,6559.15,8192.00,20
1778507570445,127.0.0.1:2551,2.1500,0.0830,3851.96,6559.15,8192.00,20
1778507573465,127.0.0.1:2551,2.1500,0.0793,3897.21,6574.88,8192.00,20
1778507573465,127.0.0.1:2551,2.1500,0.0793,3897.21,6574.88,8192.00,20
1778507576484,127.0.0.1:2551,1.9800,0.0752,3935.25,6588.11,8192.00,20
1778507576484,127.0.0.1:2551,1.9800,0.0752,3935.25,6588.11,8192.00,20
1778507579505,127.0.0.1:2551,1.9800,0.0741,3967.25,6599.23,8192.00,20
1778507579505,127.0.0.1:2551,1.9800,0.0741,3967.25,6599.23,8192.00,20
1778507582525,127.0.0.1:2551,1.8200,0.0711,3994.15,6608.58,8192.00,20
1778507582525,127.0.0.1:2551,1.8200,0.0711,3994.15,6608.58,8192.00,20
1778507585545,127.0.0.1:2551,1.8300,0.0680,4017.09,6616.44,8192.00,20
1778507585545,127.0.0.1:2551,1.8300,0.0680,4017.09,6616.44,8192.00,20
1778507588564,127.0.0.1:2551,1.8300,0.0664,4036.38,6623.05,8192.00,20
1778507588565,127.0.0.1:2551,1.8300,0.0664,4036.38,6623.05,8192.00,20
1778507591586,127.0.0.1:2551,1.6900,0.0648,4052.60,6628.61,8192.00,20
1778507591586,127.0.0.1:2551,1.6900,0.0648,4052.60,6628.61,8192.00,20
1778507594605,127.0.0.1:2551,1.6900,0.0645,4066.24,6633.29,8192.00,20
1778507594605,127.0.0.1:2551,1.6900,0.0645,4066.24,6633.29,8192.00,20
1778507597625,127.0.0.1:2551,1.7100,0.0662,4077.71,6637.22,8192.00,20
1778507597625,127.0.0.1:2551,1.7100,0.0662,4077.71,6637.22,8192.00,20
1778507600645,127.0.0.1:2551,1.7400,0.0651,4087.68,6640.53,8192.00,20
1778507600645,127.0.0.1:2551,1.7400,0.0651,4087.68,6640.53,8192.00,20
1778507603665,127.0.0.1:2551,1.7400,0.0630,4096.06,6643.31,8192.00,20
1778507603665,127.0.0.1:2551,1.7400,0.0630,4096.06,6643.31,8192.00,20
1778507606685,127.0.0.1:2551,1.6800,0.0618,4103.10,6645.64,8192.00,20
1778507606685,127.0.0.1:2551,1.6800,0.0618,4103.10,6645.64,8192.00,20
1778507609705,127.0.0.1:2551,1.6800,0.0601,4109.34,6647.61,8192.00,20
1778507609705,127.0.0.1:2551,1.6800,0.0601,4109.34,6647.61,8192.00,20
1778507612726,127.0.0.1:2551,1.5400,0.0585,4114.59,6649.26,8192.00,20
1778507612726,127.0.0.1:2551,1.5400,0.0585,4114.59,6649.26,8192.00,20
1778507615745,127.0.0.1:2551,1.5800,0.0573,4119.01,6650.65,8192.00,20
1778507615745,127.0.0.1:2551,1.5800,0.0573,4119.01,6650.65,8192.00,20
1778507618765,127.0.0.1:2551,1.5800,0.0569,4122.72,6651.82,8192.00,20
1778507618765,127.0.0.1:2551,1.5800,0.0569,4122.72,6651.82,8192.00,20
1778507621785,127.0.0.1:2551,1.4500,0.0567,4125.84,6652.81,8192.00,20
1778507621785,127.0.0.1:2551,1.4500,0.0567,4125.84,6652.81,8192.00,20
1778507624805,127.0.0.1:2551,1.4500,0.0598,4128.47,6653.63,8192.00,20
1778507624805,127.0.0.1:2551,1.4500,0.0598,4128.47,6653.63,8192.00,20
1778507627826,127.0.0.1:2551,1.3400,0.0583,4130.99,6654.33,8192.00,20
1778507627825,127.0.0.1:2551,1.3400,0.0583,4130.99,6654.33,8192.00,20
1778507630846,127.0.0.1:2551,1.2300,0.0577,4133.12,6654.91,8192.00,20
1778507630846,127.0.0.1:2551,1.2300,0.0577,4133.12,6654.91,8192.00,20
1778507633865,127.0.0.1:2551,1.2300,0.0568,4134.90,6655.40,8192.00,20
1778507633865,127.0.0.1:2551,1.2300,0.0568,4134.90,6655.40,8192.00,20
1778507636885,127.0.0.1:2551,1.1300,0.0563,4136.40,6655.82,8192.00,20
1778507636885,127.0.0.1:2551,1.1300,0.0563,4136.40,6655.82,8192.00,20
1778507639905,127.0.0.1:2551,1.1300,0.0558,4137.66,6656.16,8192.00,20
1778507639905,127.0.0.1:2551,1.1300,0.0558,4137.66,6656.16,8192.00,20
1778507642925,127.0.0.1:2551,1.0400,0.0571,4138.73,6656.46,8192.00,20
1778507642925,127.0.0.1:2551,1.0400,0.0571,4138.73,6656.46,8192.00,20
1778507645945,127.0.0.1:2551,0.9600,0.0575,4139.62,6656.70,8192.00,20
1778507645945,127.0.0.1:2551,0.9600,0.0575,4139.62,6656.70,8192.00,20
1778507648965,127.0.0.1:2551,0.9600,0.0567,4140.69,6656.91,8192.00,20
1778507648965,127.0.0.1:2551,0.9600,0.0567,4140.69,6656.91,8192.00,20
1778507651985,127.0.0.1:2551,0.8800,0.0560,4141.59,6657.08,8192.00,20
1778507651986,127.0.0.1:2551,0.8800,0.0560,4141.59,6657.08,8192.00,20
1778507655005,127.0.0.1:2551,0.8800,0.0561,4142.34,6657.23,8192.00,20
1778507655005,127.0.0.1:2551,0.8800,0.0561,4142.34,6657.23,8192.00,20
1778507658025,127.0.0.1:2551,0.8100,0.0557,4142.98,6657.35,8192.00,20
1778507658025,127.0.0.1:2551,0.8100,0.0557,4142.98,6657.35,8192.00,20
1778507661045,127.0.0.1:2551,0.9800,0.0547,4143.51,6657.45,8192.00,20
1778507661045,127.0.0.1:2551,0.9800,0.0547,4143.51,6657.45,8192.00,20
1778507664065,127.0.0.1:2551,0.9800,0.0541,4143.96,6657.54,8192.00,20
1778507664065,127.0.0.1:2551,0.9800,0.0541,4143.96,6657.54,8192.00,20
1778507667086,127.0.0.1:2551,1.1500,0.0539,4144.66,6657.61,8192.00,20
1778507667086,127.0.0.1:2551,1.1500,0.0539,4144.66,6657.61,8192.00,20
1778507670106,127.0.0.1:2551,1.1500,0.0535,4145.24,6657.68,8192.00,20
1778507670106,127.0.0.1:2551,1.1500,0.0535,4145.24,6657.68,8192.00,20
1778507673125,127.0.0.1:2551,1.1300,0.0539,4145.74,6657.73,8192.00,20
1778507673125,127.0.0.1:2551,1.1300,0.0539,4145.74,6657.73,8192.00,20
1778507676145,127.0.0.1:2551,1.3600,0.0540,4146.47,6657.77,8192.00,20
1778507676145,127.0.0.1:2551,1.3600,0.0540,4146.47,6657.77,8192.00,20
1778507679165,127.0.0.1:2551,1.3600,0.0542,4147.08,6657.81,8192.00,20
1778507679165,127.0.0.1:2551,1.3600,0.0542,4147.08,6657.81,8192.00,20
1778507682185,127.0.0.1:2551,1.4100,0.0544,4147.60,6657.84,8192.00,20
1778507682185,127.0.0.1:2551,1.4100,0.0544,4147.60,6657.84,8192.00,20
1778507685205,127.0.0.1:2551,1.7000,0.0543,4148.04,6657.86,8192.00,20
1778507685206,127.0.0.1:2551,1.7000,0.0543,4148.04,6657.86,8192.00,20
1778507688225,127.0.0.1:2551,1.7000,0.0537,4148.40,6657.89,8192.00,20
1778507688225,127.0.0.1:2551,1.7000,0.0537,4148.40,6657.89,8192.00,20
1778507691245,127.0.0.1:2551,1.5700,0.0556,4148.71,6657.90,8192.00,20
1778507691245,127.0.0.1:2551,1.5700,0.0556,4148.71,6657.90,8192.00,20
1778507694265,127.0.0.1:2551,1.5700,0.0552,4149.29,6657.92,8192.00,20
1778507694265,127.0.0.1:2551,1.5700,0.0552,4149.29,6657.92,8192.00,20
1778507697284,127.0.0.1:2551,1.5200,0.0583,4149.77,6657.93,8192.00,20
1778507697284,127.0.0.1:2551,1.5200,0.0583,4149.77,6657.93,8192.00,20
1778507700305,127.0.0.1:2551,1.5600,0.0588,4150.18,6657.94,8192.00,20
1778507700305,127.0.0.1:2551,1.5600,0.0588,4150.18,6657.94,8192.00,20
1778507703325,127.0.0.1:2551,1.5600,0.0596,4150.52,6657.95,8192.00,20
1778507703325,127.0.0.1:2551,1.5600,0.0596,4150.52,6657.95,8192.00,20
1778507706345,127.0.0.1:2551,1.4300,0.0620,4150.81,6657.96,8192.00,20
1778507706345,127.0.0.1:2551,1.4300,0.0620,4150.81,6657.96,8192.00,20
1778507709365,127.0.0.1:2551,1.4300,0.0604,4151.06,6657.97,8192.00,20
1778507709365,127.0.0.1:2551,1.4300,0.0604,4151.06,6657.97,8192.00,20
1778507712385,127.0.0.1:2551,1.4000,0.0592,4151.26,6657.97,8192.00,20
1778507712385,127.0.0.1:2551,1.4000,0.0592,4151.26,6657.97,8192.00,20
1778507715405,127.0.0.1:2551,1.3700,0.0585,4151.75,6657.98,8192.00,20
1778507715405,127.0.0.1:2551,1.3700,0.0585,4151.75,6657.98,8192.00,20
1778507718426,127.0.0.1:2551,1.3700,0.0593,4152.16,6657.98,8192.00,20
1778507718426,127.0.0.1:2551,1.3700,0.0593,4152.16,6657.98,8192.00,20
1778507721445,127.0.0.1:2551,1.2600,0.0578,4152.51,6657.98,8192.00,20
